[2026-03-27T04:16:27.183Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.108.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.183Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.109.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.183Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.110.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.184Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.111.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.184Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.112.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.184Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.113.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.184Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.114.woff2 → 200 (1ms, ?B)
[2026-03-27T04:16:27.185Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.115.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.185Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.116.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.188Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.117.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.189Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.118.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.189Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.119.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:27.189Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5CgmG0X7t.woff2 → 200 (?ms, ?B)
[2026-03-27T04:16:49.447Z] GET http://localhost:8765/ → 200 (343ms, 26986B)
[2026-03-27T04:16:49.813Z] GET https://fonts.googleapis.com/css2?family=Noto+Sans+KR:wght@300;400;500;700;900&display=swap → 200 (17ms, 472025B)
[2026-03-27T04:16:49.847Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5CgmG0X7t.woff2 → 200 (234ms, 26004B)
[2026-03-27T04:16:49.847Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.117.woff2 → 200 (237ms, 14460B)
[2026-03-27T04:16:49.847Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.118.woff2 → 200 (239ms, 14664B)
[2026-03-27T04:16:49.847Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.113.woff2 → 200 (240ms, 16464B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.119.woff2 → 200 (19ms, 16676B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.116.woff2 → 200 (112ms, 16200B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.114.woff2 → 200 (115ms, 16212B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.115.woff2 → 200 (115ms, 16272B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.108.woff2 → 200 (116ms, 19672B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.112.woff2 → 200 (117ms, 16448B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.110.woff2 → 200 (118ms, 17608B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.111.woff2 → 200 (118ms, 17464B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.104.woff2 → 200 (119ms, 28688B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.105.woff2 → 200 (120ms, 25228B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.109.woff2 → 200 (121ms, 18060B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.103.woff2 → 200 (121ms, 24396B)
[2026-03-27T04:16:50.070Z] GET https://fonts.gstatic.com/s/notosanskr/v39/PbykFmXiEBPT4ITbgNA5Cgm20xz64px_1hVWr0wuPNGmlQNMEfD4.106.woff2 → 200 (125ms, 24748B)
